S. No.,State,Destination,LATITUDE,LONGITUDE
20,Madhya Pradesh,Hoshangabad,22.7545538,77.7198249
20,Madhya Pradesh,Pachmarhi,22.4736824,78.4360537
20,Madhya Pradesh,Gwalior,26.2037247,78.1573628
20,Madhya Pradesh,Indore,22.7203616,75.8681996
20,Madhya Pradesh,Mando,23.1765,80.0266
20,Madhya Pradesh,Jabalpur,23.1701522,79.9324505
20,Madhya Pradesh,Bhopal,23.2584857,77.401989
20,Madhya Pradesh,Maheshwar,22.177435,75.5873514
20,Madhya Pradesh,BhedaGhat,23.1317464,79.8009868
20,Madhya Pradesh,Khajuraho,24.8515132,79.9259786
20,Madhya Pradesh,Sanchi,23.4876339,77.7360676
20,Madhya Pradesh,Kanha,22.2769842,80.6278653
20,Madhya Pradesh,Datia,25.9182946,78.6644962
20,Madhya Pradesh,Bandhagarh,23.7122,81.0276
20,Madhya Pradesh,panna,24.4498931,80.1462723
20,Madhya Pradesh,pench,21.8854685,79.1877054
20,Madhya Pradesh,Burhanpur,21.3348669,76.3708803
20,Madhya Pradesh,Bhimbetika,22.9369,77.6143
20,Madhya Pradesh,Shivpuri,25.3741215,77.8278866
21,Maharashtra,Mumbai,19.054999,72.8692035
21,Maharashtra,Pune,18.5213738,73.8545071
21,Maharashtra,Mumbai Suburban,19.054999,72.8692035
21,Maharashtra,Aurangabad,19.877263,75.3390241
21,Maharashtra,Ahmednagar,19.1627725,74.8580243
21,Maharashtra,Sindhudurg,16.1357193,73.6522086
21,Maharashtra,Nanded,19.0940088,77.4831922
21,Maharashtra,Kolhapur,16.7028412,74.2405329
21,Maharashtra,Ratnagiri,17.2826079,73.4569787
21,Maharashtra,Nagpur,21.1498134,79.0820556
21,Maharashtra,Raigad,18.4928092,73.138071
21,Maharashtra,Nasik,19.9834939,73.8926931
21,Maharashtra,Thane,19.1943294,72.9701779
21,Maharashtra,Satara,17.6361288,74.2982781
21,Maharashtra,Wardha,20.8256231,78.6131455
21,Maharashtra,Chandapur,20.0179519,79.7514403
21,Maharashtra,Osmanabad,18.2822454,76.0588166
21,Maharashtra,Solapur,17.8499067,75.2763203
21,Maharashtra,Buldhana,20.562845,76.4086986
21,Maharashtra,Washim,20.2874178,77.2369655
21,Maharashtra,Hingoli,19.5431163,77.1739432
21,Maharashtra,Jalgaon,20.8428826,75.5261246
21,Maharashtra,Beed,18.9918442,75.909784
22,Manipur,Imphal West,24.757326,93.8584786
22,Manipur,Imphal East,24.8515402,94.0094796
22,Manipur,Ukhrul,25.3110738,94.4753775
22,Manipur,Chandel,24.1700959,94.0059673
22,Manipur,Churachandpur,24.3468839,93.6994143
22,Manipur,Tamenglong,24.9858596,93.5039967
22,Manipur,Senapati,25.3933697,94.1505175
23,Meghalaya,Shillong,25.5760446,91.8825282
23,Meghalaya,Cherapunjee,25.2986,91.5822
23,Meghalaya,Tura,25.5125616,90.2171526
24,Mizoram,Aizawl,23.7271,92.7176
24,Mizoram,Champhai,23.4567,93.3281
24,Mizoram,Blue Mountain,22.95,93
25,Nagaland,Dimapur,25.9041378,93.7177609
25,Nagaland,Kohima,25.6618755,94.1019156
25,Nagaland,Mokokchung,26.3246,94.5186
25,Nagaland,Mon,26.75,95.1
25,Nagaland,Tuensang,26.2342107,94.741553
25,Nagaland,Zunheboto,26.0123802,94.5123719
25,Nagaland,Phek,25.6514473,94.3809788
25,Nagaland,Peren,25.4502306,93.6001154
25,Nagaland,Longleng,26.4986,94.8
25,Nagaland,Wokha,26.0986,94.2672
25,Nagaland,Kipheri,25.8764,94.7769
26,Odisha,Puri(HotelOccupancy),19.8135,85.8312
26,Odisha,Nandagiri,20.1833,85.8333
26,Odisha,Konark (ASI Ticket Entery),19.8876,86.0945
26,Odisha,Chandaneswar,21.6288834,87.4576325
26,Odisha,Dhauli,20.1892094,85.844003
26,Odisha,Aradi,20.8121138,86.6550532
26,Odisha,Sambalur,21.4668712,83.9811665
26,Odisha,Rourkela,22.2309255,84.8678705
26,Odisha,Dhabaleswar,20.1923244,85.8402492
26,Odisha,khandagiri and Udayagiri,20.2333,85.8167
26,Odisha,Chandipur,21.4338527,86.9745106
26,Odisha,Remuna,21.5427309,86.8551803
26,Odisha,Nrusinghnath,21.8302,83.5872
26,Odisha,Kapilas,20.5572991,85.9930663
26,Odisha,Gupteswar,18.7161548,82.8476588
26,Odisha,Taratarni,19.3667,84.9833
26,Odisha,Paradeep,20.2797383,86.6122727
26,Odisha,Pipli,20.108828,85.8343748
26,Odisha,Ghatagaon,21.3927559,85.894962
26,Odisha,Hirakud,21.4798269,83.905355
26,Odisha,Gopalpur,19.2598878,84.9051656
26,Odisha,Sanaghagara,21.4935,85.6292
26,Odisha,Kendrapra,20.5,86.42
26,Odisha,Huma,21.2818796,83.9130206
26,Odisha,Khiching,22.0722,86.1367
26,Odisha,Banki,20.3924025,85.605338
26,Odisha,Jajpur,20.8746788,86.1215393
26,Odisha,Sitabinji,21.4858,85.6292
26,Odisha,Deokund,20.8833,84.0167
26,Odisha,Raghuprrapur,19.9,85.8333
26,Odisha,Taptapani,19.4849637,84.3932684
26,Odisha,Ratnagiri and Udayagiri,20.5937,85.8194
26,Odisha,Lalitigiri,20.6211,86.1997
27,Puduchery,Puduchery,11.9139,79.8145
28,Punjab,Amritsar,31.6356659,74.8787496
28,Punjab,Ludhiana,30.9090157,75.851601
28,Punjab,Jalandhar,31.2922311,75.5678878
28,Punjab,Bathinda,30.1794813,75.0471098
28,Punjab,Patiala,30.2092777,76.3397231
28,Punjab,Mohali,30.7041168,76.7176885
28,Punjab,Hoshiarpur,31.6092942,75.8459754
29,Rajasthan,Ajmer,26.4691,74.639
29,Rajasthan,Mount Abu,24.592433,72.7081876
29,Rajasthan,Pushkar,26.4876472,74.5578484
29,Rajasthan,Jaipur,26.9154576,75.8189817
29,Rajasthan,Udaipur,24.578721,73.6862571
29,Rajasthan,Ranakpur,25.116021,73.4719411
29,Rajasthan,Nathdwara,24.9121863,73.9137489
29,Rajasthan,Chitorgarh,24.888743,74.6269216
29,Rajasthan,Jodhpur,26.2967719,73.0351433
29,Rajasthan,Jaisalmer,26.9116615,70.9124888
29,Rajasthan,Bikaner,28.0159286,73.3171367
29,Rajasthan,Jhunjhunun,28.1070891,75.3900287
29,Rajasthan,Alwar,27.4140048,76.6170387
29,Rajasthan,S. Madhopur,24.5234745,76.1827612
29,Rajasthan,Banswara,23.4915046,74.3502172
29,Rajasthan,Jhalawar,24.3132368,76.5221078
29,Rajasthan,Bhartpur,27.2173,77.4895
29,Rajasthan,Bundi,25.4367659,75.7361471
29,Rajasthan,Kota,25.1737019,75.8574194
29,Rajasthan,Sikar,27.6625058,75.0279905
29,Rajasthan,Sariska,27.3927313,76.3763169
29,Rajasthan,Baharor,27.9246,77.0932
29,Rajasthan,Rishabhdeo,24.0831082,73.6895096
29,Rajasthan,Siliserh,27.1506,76.4632
30,Sikkim,"East District(Tsomgo,Baba Mandir and Nathula)",27.3826,88.7636
30,Sikkim,North District (Yumthang/Gurugongmar),27.931,88.7466
30,Sikkim,West District (Pelling/Yuksom/Khechopairi),27.3075,88.2332
30,Sikkim,South District (Namchi),27.333333,88.416667
30,Sikkim,Sandruptse,27.1752,88.3631
30,Sikkim,Solophok,27.1522393,88.3424516
30,Sikkim,Shirdi Sai Mandir,27.1566528,88.3287322
31,Tamil nadu,Chennai,13.0836939,80.270186
31,Tamil nadu,Rameswaram,9.2844657,79.3125553
31,Tamil nadu,Madurai,9.9261153,78.1140983
31,Tamil nadu,Thiruvannamalai,9.539867,77.6197904
31,Tamil nadu,Kodaikanal,10.233712,77.4919719
31,Tamil nadu,Thiruchendur,8.4777233,78.1139482
31,Tamil nadu,Kanniyakumari,8.3279814,77.3541173
31,Tamil nadu,Udhagamandalam,11.4126769,76.7030504
31,Tamil nadu,Salem,11.6469616,78.2106958
31,Tamil nadu,Thiruchirapalli,10.7905,78.7047
31,Tamil nadu,Coimbatore,11.0018115,76.9628425
31,Tamil nadu,Palani,10.4511094,77.5154495
